	PC1	PC2	PC3	Label
ENSG00000110324	-4.478779828557759	-0.3430222134218816	0.15446278143797199	Normal
ENSG00000172183	-4.561264822685227	-0.2876941180028353	0.29541844595969946	Normal
ENSG00000182481	-3.0456734619276187	0.07342978626915271	-0.07774699177694944	Normal
ENSG00000002549	-2.1940330789288933	-0.010789473063456213	0.6923352185109575	Normal
ENSG00000162511	-0.8969545474199861	-0.802859599161249	-1.128340168167787	Normal
ENSG00000131981	-2.8125694333344526	0.5735786203135719	0.49146726108495703	Normal
ENSG00000110031	-4.395422631115943	-0.303467405399041	0.195321427552461	Normal
ENSG00000090382	10.75034861405648	38.58574211048372	-12.17808827170757	Outlier
ENSG00000076003	-4.099260086793445	-0.14834414598037882	0.20254096002413752	Normal
ENSG00000059378	-4.2509698105244125	-0.14141364342746415	0.3359048372756225	Normal
ENSG00000168078	-4.520256200441791	-0.2311741360135242	0.19603373494409163	Normal
ENSG00000171608	-4.594589866676302	-0.3362476307997463	0.17297519298516154	Normal
ENSG00000133321	-1.4404890979293226	-0.2594136879030636	0.44899022720945087	Normal
ENSG00000145287	-4.675055568222272	-0.29342699219038376	0.2184824281318212	Normal
ENSG00000131238	-2.9612623176082637	-0.1930783644585959	0.022183623721066335	Normal
ENSG00000198901	-4.435860867456128	-0.25900750832864367	0.20360882011345494	Normal
ENSG00000205220	-3.672853683066895	-0.2336550853993624	0.3273943737247247	Normal
ENSG00000240065	-2.995990875050817	-0.3378973193329909	0.3310392251784783	Normal
ENSG00000092010	2.6480045476326612	0.9507842336853647	2.038383717158092	Normal
ENSG00000100911	-1.2060894792782793	0.09050437361134639	0.7039268837279703	Normal
ENSG00000164611	-4.0065173949449315	-0.21576771764664793	0.0861180163324693	Normal
ENSG00000139832	-3.3148028622671633	-0.16555470932033672	0.3382407442931322	Normal
ENSG00000069974	-4.446839791057868	-0.2372271044439442	0.3146312462327992	Normal
ENSG00000168461	-4.450150461918519	-0.33845456006198055	0.13093601760188747	Normal
ENSG00000128340	-3.745702377362679	-0.35843299226518927	-0.053004879438518254	Normal
ENSG00000143390	-4.0767532633653145	-0.18693306214469016	0.31305039879864405	Normal
ENSG00000143344	-4.512547207553273	-0.17851429568551386	0.20929123326178709	Normal
ENSG00000026297	-4.432313792557964	-0.23889731308423343	0.25861002208841993	Normal
ENSG00000171848	-4.250238336736465	-0.20114317508571736	0.16412318517371485	Normal
ENSG00000197747	3.08810477858486	1.2608270774460508	0.4676997571078533	Normal
ENSG00000155465	-4.501717020195256	-0.32275330840843425	0.1742234503592781	Normal
ENSG00000112096	-1.836789270768042	0.3930271419525082	1.0308367607255837	Normal
ENSG00000135899	-4.723142610797889	-0.2907576864786995	0.2620784100684375	Normal
ENSG00000122862	-1.2168211562395141	-0.6902593525612487	-0.5704431618358698	Normal
ENSG00000115415	-0.6779652423121392	-0.1374004132800423	0.35148095219349557	Normal
ENSG00000231925	0.021287577817086963	0.7030399439001489	1.1937513888255906	Normal
ENSG00000130775	-4.4733251308190605	-0.34041790972548563	0.15996019056742686	Normal
ENSG00000166340	-1.3297282348823005	0.67784149302956	0.7797206143002527	Normal
ENSG00000132274	-4.322403168525087	-0.3057410039746439	0.2713185486182819	Normal
ENSG00000176890	-3.9970338537835293	-0.2105978942947678	0.16274840765947832	Normal
ENSG00000011600	-0.07293279054765149	-1.0101882730170755	-1.5323099208888187	Normal
ENSG00000175063	-3.396201325462934	-0.2162150867586635	-0.31165785616712205	Normal
ENSG00000156587	-1.6077128455743879	-0.2465152548975344	0.6436811409195274	Normal
ENSG00000175567	-3.643206608344945	-0.44297692269225325	-0.13308688020996215	Normal
ENSG00000155659	-4.041440343871741	-0.5086871238014813	-0.18789935207554312	Normal
ENSG00000140105	-3.1326129473203856	-0.6655823567642684	-0.42109057755292245	Normal
