	Gene	p-value	liri_p-value	Go	Description	Condition	#Nmodule
81	GBP2	1.1960588229318899e-49	1.1960588229318899e-49	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	2
33	SPI1	0.0054554004180689	0.0054554004180689	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	2
34	AIF1	5.3006963630613e-184	5.3006963630613e-184	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	2
32	HYAL3	2.77781478922206e-32	2.77781478922206e-32	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	2
82	GBP1	0.0286611534644107	0.0286611534644107	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	2
18	AIF1	0.0353853188375601	0.0353853188375601	GO:0071345	cellular-response-to-cytokine-stimulus	hbv_only_35	2
56	ISG15	1.43145740113452e-17	1.43145740113452e-17	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	2
2	ISG15	0.0249015996793071	0.0249015996793071	GO:0045824	negative-regulation-of-innate-immune-response	hbv_only_35	2
57	RNF113A	2.85415439041098e-21	2.85415439041098e-21	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	2
11	RNF113A	0.0047490666598355	0.0047490666598355	GO:0071345	cellular-response-to-cytokine-stimulus	hbv_only_35	2
15	LILRB4	1.6782036421644e-72	1.6782036421644e-72	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	2
15	LILRB4	0.0033180652903581	0.0033180652903581	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	2
38	OASL	0.007815157793781	0.007815157793781	GO:0071345	cellular-response-to-cytokine-stimulus	hbv_only_35	2
45	OASL	4.0613292248825404e-35	4.0613292248825404e-35	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	2
79	OAS3	5.99678615709453e-20	5.99678615709453e-20	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	2
78	GBP1	9.57989160088098e-08	9.57989160088098e-08	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	2
11	GBA	5.51763084544581e-48	5.51763084544581e-48	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	2
6	CSF1	0.0073953526652003	0.0073953526652003	GO:0071345	cellular-response-to-cytokine-stimulus	hbv_only_35	2
2	CCL5	0.0490147459533716	0.0490147459533716	GO:0071345	cellular-response-to-cytokine-stimulus	hbv_only_35	2
6	CCL5	0.0058724147144318	0.0058724147144318	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	2
53	CD58	1.05072586439898e-06	1.05072586439898e-06	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	2
55	CD58	0.0110518166431554	0.0110518166431554	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	2
18	CNOT7	3.1858278442397696e-33	3.1858278442397696e-33	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	2
12	GBA	0.0281330481562387	0.0281330481562387	GO:0071345	cellular-response-to-cytokine-stimulus	hbv_only_35	2
18	CNOT7	0.0022920983784054	0.0022920983784054	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	2
59	SYNCRIP	0.0011626248023456	0.0011626248023456	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	2
10	CSF1	2.12898810816094e-21	2.12898810816094e-21	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	2
22	OAS3	0.0299459401647575	0.0299459401647575	GO:0071345	cellular-response-to-cytokine-stimulus	hbv_only_35	2
44	CSNK2B	0.0085146732550592	0.0085146732550592	GO:0071345	cellular-response-to-cytokine-stimulus	hbv_only_35	2
69	CSNK2B	1.5728308295922e-08	1.5728308295922e-08	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	2
87	CXCL10	0.0006126090223171	0.0006126090223171	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	2
83	CXCL10	9.31426341316806e-22	9.31426341316806e-22	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	2
61	SYNCRIP	0.0260926348934443	0.0260926348934443	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	2
9	SRC	1.10189536511568e-81	1.10189536511568e-81	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
70	ZFP36	7.850902659684399e-37	7.850902659684399e-37	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
42	ZC3H12A	3.54452679506547e-08	3.54452679506547e-08	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
35	OSMR	1.89070737209685e-11	1.89070737209685e-11	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
24	PARP14	0.0035475444652593	0.0035475444652593	GO:0071345	cellular-response-to-cytokine-stimulus	hbv_only_35	1
66	PARP9	0.0131292417573608	0.0131292417573608	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
46	PPP2CB	2.4886959646552902e-20	2.4886959646552902e-20	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
73	PTPN2	3.42142656741788e-23	3.42142656741788e-23	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
55	PYCARD	2.72917697487339e-59	2.72917697487339e-59	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
76	SYK	0.0006517288079744	0.0006517288079744	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
65	STAT2	0.030208424934258	0.030208424934258	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
24	TXNDC17	5.08055008435514e-16	5.08055008435514e-16	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
26	SH2B3	5.65820147008605e-18	5.65820147008605e-18	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
78	TRIM44	0.0183123225245166	0.0183123225245166	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
21	ROBO1	1.54360653161327e-21	1.54360653161327e-21	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
85	RPS6KA4	1.37449514619172e-10	1.37449514619172e-10	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
81	TDGF1	0.0041235192408507	0.0041235192408507	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
64	SPHK1	1.4951505661302601e-31	1.4951505661302601e-31	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
20	SHARPIN	0.0003494843950139	0.0003494843950139	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
63	SAMHD1	4.304530147991679e-42	4.304530147991679e-42	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
50	IRF1	2.56077291120442e-86	2.56077291120442e-86	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
92	OAS1	0.0	0.0	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
19	CPNE1	1.55208436144655e-59	1.55208436144655e-59	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
86	GAPDH	2.19640726642723e-68	2.19640726642723e-68	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
12	FOXH1	0.0347089318213949	0.0347089318213949	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
36	FADD	8.93033154738263e-18	8.93033154738263e-18	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
1	EIF5A	0.0010831834579914	0.0010831834579914	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
7	EGR1	5.28645145423152e-89	5.28645145423152e-89	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
91	EDN1	2.72485185877614e-15	2.72485185877614e-15	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
90	DUSP1	5.63164097231051e-37	5.63164097231051e-37	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
62	COMMD7	1.60566476769951e-08	1.60566476769951e-08	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
43	GBP4	6.96402167182369e-51	6.96402167182369e-51	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
41	CDK9	5.74853419071284e-24	5.74853419071284e-24	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
4	CD47	1.5844454267271e-10	1.5844454267271e-10	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
84	CCR1	0.0129519464539374	0.0129519464539374	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
58	CASP4	1.15646013471619e-16	1.15646013471619e-16	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
71	AXL	7.74456184910715e-305	7.74456184910715e-305	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
29	ANKRD1	2.75503768914398e-07	2.75503768914398e-07	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
47	AKT1	4.40743539391532e-16	4.40743539391532e-16	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
38	GBP3	1.45802849329164e-15	1.45802849329164e-15	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
8	HSPA1A	2.7322709672388702e-182	2.7322709672388702e-182	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
22	NLRC5	1.10414380387814e-10	1.10414380387814e-10	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
71	LEF1	0.0042116904203365	0.0042116904203365	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
5	NFKBIA	0.0399585990270243	0.0399585990270243	GO:0071345	cellular-response-to-cytokine-stimulus	hbv_only_35	1
5	NDUFA13	0.0061761700344015	0.0061761700344015	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
17	MX1	3.69204667330604e-10	3.69204667330604e-10	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
52	MT2A	1.67445509552758e-07	1.67445509552758e-07	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
16	MT1X	1.54136156425401e-10	1.54136156425401e-10	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
3	LYN	2.50030443911224e-50	2.50030443911224e-50	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
68	LGALS9	5.31468565029971e-13	5.31468565029971e-13	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
0	IRF8	2.18080449278447e-28	2.18080449278447e-28	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
82	HSPA1B	3.90681893192801e-273	3.90681893192801e-273	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
51	IRAK1	0.0086639922660357	0.0086639922660357	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
61	IL2RB	2.9093991186876e-154	2.9093991186876e-154	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
39	IL18	2.20573774936073e-09	2.20573774936073e-09	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
33	IL15RA	1.33485371632703e-48	1.33485371632703e-48	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
25	IFNAR1	2.18276084276411e-13	2.18276084276411e-13	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
39	IFITM2	0.0180931541522244	0.0180931541522244	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
24	IFI27	0.0494270564223236	0.0494270564223236	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
84	ZFP36L1	6.07562944848897e-23	6.07562944848897e-23	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	1
